,row number,USRN ID,Street Name,Authority Name,Administrative area,Town,NodeCount,Node Locations,Links
11443,519844,usrn21105030,SEYMOUR AVENUE,Haringey,HARINGEY,LONDON,9,"[(54.662057, -5.25297), (54.661834, -5.252921), (54.661253, -5.252797), (54.66119, -5.252776), (54.660065, -5.252485), (54.65993, -5.252474), (54.659832, -5.25245), (54.659823, -5.25245), (54.657954, -5.252424)]","['osgb4000000030155088', 'osgb4000000030155090', 'osgb4000000030254359', 'osgb4000000030463469']"
11444,519845,usrn21105037,SHERRINGHAM AVENUE,Haringey,HARINGEY,LONDON,9,"[(54.662135, -5.252076), (54.661858, -5.252008), (54.661322, -5.251903), (54.659865, -5.251569), (54.65982, -5.251565), (54.65956, -5.251545), (54.658957, -5.251543), (54.658149, -5.251509), (54.657933, -5.251523)]","['osgb4000000030155091', 'osgb4000000030155095', 'osgb4000000030254328', 'osgb4000000030254360']"
11445,519846,usrn21105038,SHOBDEN ROAD,Haringey,HARINGEY,LONDON,2,"[(54.645736, -5.244983), (54.645656, -5.247317)]",['osgb4000000030154871']
11446,519847,usrn21105040,SHROPSHIRE ROAD,Haringey,HARINGEY,LONDON,2,"[(54.628257, -5.234926), (54.628342, -5.233058)]",['osgb4000000030154834']
11447,519848,usrn21105043,SIDDONS ROAD,Haringey,HARINGEY,LONDON,5,"[(54.659852, -5.249707), (54.659699, -5.24971), (54.659702, -5.249617), (54.659711, -5.24861), (54.659718, -5.248006)]","['osgb4000000030254766', 'osgb4000000030359080']"
11448,519849,usrn21105045,SIDNEY ROAD,Haringey,HARINGEY,LONDON,8,"[(54.629555, -5.235031), (54.629469, -5.235065), (54.628911, -5.235009), (54.628274, -5.234928), (54.628257, -5.234926), (54.627808, -5.234875), (54.627746, -5.234855), (54.627401, -5.234657)]","['osgb4000000030253844', 'osgb4000000030253845', 'osgb4000000030358238']"
11449,519850,usrn21105046,SILSOE ROAD,Haringey,HARINGEY,LONDON,4,"[(54.628453, -5.254422), (54.628575, -5.254882), (54.628722, -5.255501), (54.628729, -5.255529)]","['osgb4000000030357866', 'osgb5000005209477413']"
11450,519851,usrn21105049,SIWARD ROAD,Haringey,HARINGEY,LONDON,3,"[(54.645261, -5.244929), (54.645251, -5.245316), (54.645189, -5.24728)]",['osgb4000000030154870']
11451,519852,usrn21105051,SMITHSON ROAD,Haringey,HARINGEY,LONDON,8,"[(54.645, -5.242257), (54.645215, -5.24229), (54.645233, -5.242307), (54.645312, -5.24236), (54.645727, -5.242982), (54.645804, -5.243112), (54.645838, -5.243192), (54.645904, -5.24343)]",['osgb4000000030253921']
11452,519853,usrn21105054,SOLWAY ROAD,Haringey,HARINGEY,LONDON,2,"[(54.636522, -5.244232), (54.635395, -5.241663)]",['osgb4000000030154818']
11453,519854,usrn21105065,SPIGURNELL ROAD,Haringey,HARINGEY,LONDON,3,"[(54.644202, -5.247217), (54.644271, -5.244974), (54.644293, -5.244821)]",['osgb4000000030154861']
11454,519855,usrn21105076,ST MARGARETS ROAD,Haringey,HARINGEY,LONDON,7,"[(54.650875, -5.256185), (54.650865, -5.256215), (54.650865, -5.25623), (54.650903, -5.256482), (54.650907, -5.256668), (54.650771, -5.258037), (54.650676, -5.258898)]",['osgb4000000030155073']
11455,519856,usrn21105078,ST MARYS CLOSE,Haringey,HARINGEY,LONDON,7,"[(54.657833, -5.249235), (54.657437, -5.249219), (54.657401, -5.249216), (54.657383, -5.24923), (54.657346, -5.249274), (54.657345, -5.24932), (54.657343, -5.249382)]",['osgb4000000030254754']
11456,519857,usrn21105096,STIRLING ROAD,Haringey,HARINGEY,LONDON,3,"[(54.659711, -5.24861), (54.658961, -5.24858), (54.658561, -5.248565)]",['osgb4000000030155302']
11457,519858,usrn21105097,STOCKTON GARDENS,Haringey,HARINGEY,LONDON,2,"[(54.641481, -5.239047), (54.641867, -5.239729)]",['osgb4000000030358323']
11458,519859,usrn21105099,STOCKTON ROAD,Haringey,HARINGEY,LONDON,9,"[(54.641702, -5.237499), (54.641705, -5.237793), (54.641712, -5.238476), (54.64171, -5.238553), (54.641689, -5.23866), (54.641641, -5.238765), (54.641481, -5.239047), (54.641415, -5.23915), (54.641085, -5.239728)]","['osgb4000000030253940', 'osgb4000000030358322', 'osgb4000000030426940']"
11459,519860,usrn21105107,STRODE ROAD,Haringey,HARINGEY,LONDON,10,"[(54.650875, -5.256185), (54.650894, -5.256155), (54.650931, -5.256127), (54.651532, -5.25585), (54.65155, -5.255851), (54.651576, -5.255869), (54.651594, -5.255886), (54.651601, -5.255948), (54.651577, -5.256179), (54.651554, -5.256348)]","['osgb4000000030254301', 'osgb4000000030358619']"
11460,519861,usrn21105113,SUTHERLAND ROAD,Haringey,HARINGEY,LONDON,4,"[(54.660199, -5.24381), (54.66017, -5.243218), (54.660106, -5.241895), (54.66007, -5.240915)]","['osgb4000000030254751', 'osgb4000000030359092']"
11461,519862,usrn21105119,SYLVAN AVENUE,Haringey,HARINGEY,LONDON,8,"[(54.634628, -5.233728), (54.633602, -5.233755), (54.633575, -5.233752), (54.632945, -5.233766), (54.632405, -5.233777), (54.63111, -5.233805), (54.630876, -5.233802), (54.629751, -5.233852)]","['osgb4000000030102090', 'osgb4000000030154836', 'osgb4000000030253863']"
11462,519863,usrn21105127,TERRICK ROAD,Haringey,HARINGEY,LONDON,4,"[(54.624904, -5.246608), (54.624786, -5.246168), (54.624692, -5.245963), (54.624179, -5.244814)]",['osgb4000000030253608']
11463,519864,usrn21105128,TEYNTON TERRACE,Haringey,HARINGEY,LONDON,3,"[(54.642446, -5.244643), (54.642384, -5.246281), (54.642359, -5.246868)]",['osgb4000000030154854']
11464,519865,usrn21105129,THACKERAY AVENUE,Haringey,HARINGEY,LONDON,9,"[(54.65795, -5.253215), (54.65971, -5.253309), (54.659871, -5.253353), (54.660014, -5.253396), (54.660594, -5.253535), (54.661175, -5.253675), (54.661336, -5.253718), (54.661702, -5.253794), (54.661968, -5.253858)]","['osgb4000000030155087', 'osgb4000000030155089', 'osgb4000000030254358']"
11465,519866,usrn21105135,THE CROSSWAY,Haringey,HARINGEY,LONDON,6,"[(54.640305, -5.237946), (54.640089, -5.237944), (54.639757, -5.237948), (54.639684, -5.237958), (54.639127, -5.237968), (54.638893, -5.237973)]","['osgb4000000030253938', 'osgb4000000030253939']"
11466,519867,usrn21105155,THOROLD ROAD,Haringey,HARINGEY,LONDON,6,"[(54.626291, -5.234445), (54.625987, -5.234374), (54.625168, -5.234104), (54.624686, -5.233945), (54.62466, -5.233928), (54.624309, -5.233575)]","['osgb4000000030154731', 'osgb5000005141125313']"
11467,519868,usrn21105178,TURNANT ROAD,Haringey,HARINGEY,LONDON,6,"[(54.642206, -5.247879), (54.64224, -5.246952), (54.642259, -5.246907), (54.642278, -5.246877), (54.642305, -5.246864), (54.642359, -5.246868)]",['osgb4000000030358266']
11468,519869,usrn21105193,WALDEN ROAD,Haringey,HARINGEY,LONDON,2,"[(54.646114, -5.247338), (54.646088, -5.248297)]",['osgb4000000030358297']
11469,519870,usrn21105196,WALTHEOF AVENUE,Haringey,HARINGEY,LONDON,4,"[(54.644634, -5.248212), (54.64465, -5.247708), (54.64465, -5.247708), (54.644668, -5.247254), (54.644746, -5.244948), (54.644746, -5.244948), (54.644777, -5.244939), (54.644782, -5.244923), (54.644782, -5.244922), (54.644782, -5.244827), (54.64478, -5.24482), (54.644751, -5.2448), (54.644775, -5.244017)]","['osgb4000000030154869', 'osgb4000000030253926', 'osgb4000000030358296', 'osgb4000000031050536', 'osgb4000000031068451', 'osgb5000005209497969']"
11470,519871,usrn21105198,WARBERRY ROAD,Haringey,HARINGEY,LONDON,3,"[(54.62817, -5.24648), (54.628065, -5.247092), (54.627906, -5.248009)]",['osgb4000000030253792']
11471,519872,usrn21105204,WATEVILLE ROAD,Haringey,HARINGEY,LONDON,2,"[(54.64336, -5.244731), (54.64328, -5.247066)]",['osgb4000000030154856']
11472,519873,usrn21105234,WHITLEY ROAD,Haringey,HARINGEY,LONDON,7,"[(54.652565, -5.250861), (54.652553, -5.251977), (54.65255, -5.252426), (54.652548, -5.252488), (54.652581, -5.2526), (54.65268, -5.25282), (54.652725, -5.252921)]","['osgb4000000030254306', 'osgb4000000030358622', 'osgb5000005242876883']"
11473,519874,usrn21105241,WILLIAMS GROVE,Haringey,HARINGEY,LONDON,12,"[(54.632258, -5.243753), (54.632081, -5.243522), (54.631968, -5.243389), (54.631944, -5.243376), (54.631897, -5.243352), (54.631841, -5.243334), (54.631772, -5.243312), (54.631538, -5.243324), (54.631457, -5.243333), (54.631421, -5.243346), (54.631306, -5.243387), (54.631192, -5.243428)]","['osgb4000000030253799', 'osgb5000005215692406']"
11474,519875,usrn21105243,WILLOUGHBY GROVE,Haringey,HARINGEY,LONDON,2,"[(54.664505, -5.23646), (54.664581, -5.235287)]",['osgb4000000030254855']
11475,519876,usrn21105252,WIMBORNE ROAD,Haringey,HARINGEY,LONDON,7,"[(54.650193, -5.252114), (54.650361, -5.252129), (54.650615, -5.252151), (54.650696, -5.252154), (54.650992, -5.252178), (54.65127, -5.252185), (54.651855, -5.2522)]","['osgb4000000030358615', 'osgb4000000030358616', 'osgb4000000030358617', 'osgb4000000030358621']"
11476,519877,usrn21105257,WINDSOR ROAD,Haringey,HARINGEY,LONDON,5,"[(54.659801, -5.254263), (54.659816, -5.254062), (54.659855, -5.2536), (54.659871, -5.253353), (54.65993, -5.252474)]","['osgb4000000030254327', 'osgb4000000030358645']"
11477,519878,usrn21105260,WOLSELEY ROAD,Haringey,HARINGEY,LONDON,7,"[(54.626573, -5.246431), (54.626803, -5.246558), (54.626961, -5.246694), (54.627075, -5.246812), (54.627231, -5.247026), (54.627432, -5.247259), (54.627642, -5.247515)]","['osgb4000000030253606', 'osgb4000000030426900']"
11478,519879,usrn21105273,WYCOMBE ROAD,Haringey,HARINGEY,LONDON,5,"[(54.661643, -5.24999), (54.661648, -5.249773), (54.661642, -5.248997), (54.661635, -5.247926), (54.661637, -5.247182)]","['osgb4000000030254774', 'osgb4000000030359089', 'osgb4000000030359090']"
11479,519880,usrn21105875,SEDGE ROAD,Haringey,HARINGEY,LONDON,3,"[(54.667231, -5.23739), (54.667788, -5.237513), (54.668, -5.23756)]",['osgb4000000030254859']
11480,519881,usrn21106063,CONINGSBY ROAD,Haringey,HARINGEY,LONDON,4,"[(54.634987, -5.287449), (54.634964, -5.287356), (54.634719, -5.286373), (54.634695, -5.286294)]",['osgb4000000030357717']
11481,519882,usrn21106064,GOODWYNS VALE,Haringey,HARINGEY,LONDON,4,"[(54.607566, -5.2447), (54.608121, -5.24414), (54.608804, -5.243466), (54.609108, -5.243196)]",['osgb4000000030102038']
11482,519883,usrn21106066,LASCOTTS ROAD,Haringey,HARINGEY,LONDON,6,"[(54.630449, -5.22994), (54.629332, -5.230006), (54.628629, -5.230059), (54.628563, -5.230084), (54.628529, -5.230097), (54.627913, -5.230281)]","['osgb4000000030154839', 'osgb4000000030253849', 'osgb4000000030253850']"
11483,519884,usrn21106072,ROSEBERRY GARDENS,Haringey,HARINGEY,LONDON,10,"[(54.636898, -5.279651), (54.637236, -5.279601), (54.637309, -5.279591), (54.637716, -5.279531), (54.638008, -5.279488), (54.638016, -5.279487), (54.638532, -5.279411), (54.63864, -5.279388), (54.638938, -5.27935), (54.640401, -5.279127)]","['osgb4000000030154536', 'osgb4000000030154541', 'osgb4000000030357747', 'osgb5000005215722136']"
11484,519885,usrn21106074,SHAKESPEARE GARDENS,Haringey,HARINGEY,LONDON,4,"[(54.60054, -5.263561), (54.600543, -5.264103), (54.600562, -5.264414), (54.600544, -5.265608)]",['osgb4000000030140220']
11485,519886,usrn21106075,SPOTTONS GROVE,Haringey,HARINGEY,LONDON,3,"[(54.641707, -5.241324), (54.641733, -5.241228), (54.642087, -5.240687)]",['osgb4000000030253902']
11486,519887,usrn21106078,WESTCOTT CLOSE,Haringey,HARINGEY,LONDON,3,"[(54.652717, -5.283618), (54.652616, -5.283585), (54.652252, -5.283416)]",['osgb4000000030358451']
11487,519888,usrn21106079,WILSONS AVENUE,Haringey,HARINGEY,LONDON,2,"[(54.656303, -5.253902), (54.656298, -5.254479)]",['osgb4000000030358640']
11488,519889,usrn21106080,ALBERT CLOSE,Haringey,HARINGEY,LONDON,9,"[(54.618455, -5.23954), (54.618518, -5.239653), (54.618606, -5.239738), (54.618614, -5.239754), (54.61864, -5.239818), (54.618656, -5.239881), (54.618691, -5.240187), (54.618751, -5.24071), (54.618789, -5.240945)]","['osgb4000000030253592', 'osgb4000000031055573']"
11489,519890,usrn21106082,NORTH GROVE,Haringey,HARINGEY,LONDON,7,"[(54.604277, -5.291879), (54.604281, -5.291817), (54.604292, -5.291663), (54.604385, -5.29054), (54.604377, -5.289916), (54.604377, -5.28991), (54.604374, -5.289641)]","['osgb4000000030153527', 'osgb5000005215530946']"
11490,519891,usrn21106094,MYDDLETON MEWS,Haringey,HARINGEY,LONDON,3,"[(54.624527, -5.232954), (54.624672, -5.233115), (54.624786, -5.233126)]",['osgb4000000030709751']
11491,519892,usrn21106099,COMMERCIAL ROAD,Haringey,HARINGEY,LONDON,8,"[(54.655142, -5.229837), (54.655022, -5.229859), (54.654365, -5.229977), (54.653579, -5.230116), (54.653543, -5.230114), (54.653508, -5.230064), (54.653491, -5.230032), (54.653485, -5.229993)]","['osgb4000000030254869', 'osgb5000005222827375']"
11492,519893,usrn21106103,FORSTER ROAD,Haringey,HARINGEY,LONDON,18,"[(54.65376, -5.258587), (54.653846, -5.258718), (54.653959, -5.258851), (54.653977, -5.258868), (54.65406, -5.258933), (54.654127, -5.258988), (54.654331, -5.259067), (54.654447, -5.259091), (54.654582, -5.259102), (54.654726, -5.259083), (54.654745, -5.259069), (54.654874, -5.25902), (54.654981, -5.258979), (54.655089, -5.258972), (54.655107, -5.258976), (54.655196, -5.258996), (54.655321, -5.259037), (54.655383, -5.259073)]","['osgb4000000030254297', 'osgb4000000030358627', 'osgb4000000030476649']"
11493,519894,usrn21106119,CONISTON ROAD,Haringey,HARINGEY,LONDON,4,"[(54.610931, -5.253333), (54.610486, -5.250803), (54.610385, -5.250224), (54.610065, -5.248399)]",['osgb4000000030101966']
11494,519895,usrn21106120,LEINSTER ROAD,Haringey,HARINGEY,LONDON,8,"[(54.610794, -5.264739), (54.61079, -5.264893), (54.610812, -5.265065), (54.610851, -5.265316), (54.610929, -5.265741), (54.610953, -5.265851), (54.610996, -5.266273), (54.611008, -5.2668)]",['osgb4000000030154454']
11495,519896,usrn21106122,PRINCES LANE,Haringey,HARINGEY,LONDON,4,"[(54.607457, -5.259127), (54.607611, -5.259418), (54.607707, -5.259534), (54.608314, -5.260342)]",['osgb4000000030253127']
11496,519897,usrn21106123,CRANMORE WAY,Haringey,HARINGEY,LONDON,11,"[(54.614592, -5.263713), (54.614532, -5.263821), (54.614531, -5.263822), (54.614517, -5.263849), (54.614429, -5.264007), (54.614334, -5.264186), (54.614324, -5.2642), (54.614192, -5.264438), (54.613909, -5.264942), (54.613786, -5.265164), (54.61354, -5.265609)]","['osgb4000000030253140', 'osgb4000000030463254', 'osgb5000005173008342']"
11497,519898,usrn21106136,CHURSTON GARDENS,Haringey,HARINGEY,LONDON,3,"[(54.615906, -5.228399), (54.616575, -5.229134), (54.617487, -5.230136)]",['osgb4000000030154719']
11498,519899,usrn21106139,SOUTH WAY,Haringey,HARINGEY,LONDON,7,"[(54.614338, -5.227516), (54.614412, -5.227444), (54.614486, -5.227373), (54.61476, -5.227208), (54.614808, -5.227199), (54.614853, -5.227187), (54.614904, -5.227165)]",['osgb4000000030253679']
11499,519900,usrn21106149,HIGHGATE CLOSE,Haringey,HARINGEY,LONDON,2,"[(54.603171, -5.290154), (54.603172, -5.290376), (54.603339, -5.290347), (54.603339, -5.290347), (54.603495, -5.290561), (54.603537, -5.290673), (54.603586, -5.290832), (54.603601, -5.290942), (54.603601, -5.291267), (54.603594, -5.29153), (54.603583, -5.291606), (54.603571, -5.291714), (54.603339, -5.290347), (54.603896, -5.290347)]","['osgb4000000030153529', 'osgb4000000030251326', 'osgb4000000030330365']"
11500,519901,usrn21106151,OLDFIELD MEWS,Haringey,HARINGEY,LONDON,11,"[(54.613874, -5.292232), (54.613731, -5.291841), (54.613692, -5.291766), (54.613648, -5.291719), (54.613603, -5.29169), (54.613522, -5.291666), (54.613447, -5.291634), (54.613401, -5.291575), (54.613375, -5.291523), (54.613364, -5.291453), (54.613367, -5.291401), (54.613347, -5.291295), (54.613347, -5.291295), (54.613329, -5.291294), (54.613321, -5.291277), (54.613313, -5.291246), (54.613323, -5.291216), (54.613332, -5.291201), (54.613341, -5.291202), (54.613358, -5.291218), (54.613367, -5.291235), (54.613367, -5.29125), (54.613347, -5.291295)]","['osgb4000000030251347', 'osgb4000000030476452']"
11501,519902,usrn21106153,BERKELEY ROAD,Haringey,HARINGEY,LONDON,5,"[(54.646107, -5.285231), (54.646917, -5.286195), (54.646934, -5.286228), (54.64694, -5.286275), (54.646985, -5.28665)]",['osgb4000000030154550']
11502,519903,usrn21106159,ARGYLE PASSAGE,Haringey,HARINGEY,LONDON,2,"[(54.657158, -5.24356), (54.656805, -5.243648)]",['osgb4000000030359084']
11503,519904,usrn21106165,WAGGON LANE,Haringey,HARINGEY,LONDON,6,"[(54.658253, -5.23117), (54.658214, -5.231145), (54.658023, -5.231137), (54.65792, -5.231114), (54.659928, -5.231116), (54.659718, -5.231113), (54.659238, -5.231132), (54.658782, -5.231169), (54.658716, -5.231167), (54.660053, -5.231118), (54.660358, -5.231132), (54.660375, -5.230663), (54.660399, -5.230224), (54.660429, -5.230193), (54.66111, -5.230144)]","['osgb4000000031083656', 'osgb4000000066059675', 'osgb4000000066064611']"
11504,519905,usrn21106178,PARK WALK,Haringey,HARINGEY,LONDON,9,"[(54.60619, -5.285943), (54.606168, -5.28594), (54.606144, -5.285937), (54.606131, -5.285935), (54.606089, -5.285944), (54.60594, -5.286002), (54.605693, -5.286095), (54.605529, -5.286104), (54.605422, -5.286108)]",['osgb4000000031070307']
11505,519906,usrn21106187,DUKES HEAD YARD,Haringey,HARINGEY,LONDON,7,"[(54.607448, -5.294157), (54.607525, -5.293975), (54.607564, -5.293822), (54.607591, -5.293732), (54.607645, -5.293609), (54.60782, -5.293338), (54.6079, -5.293214)]",['osgb4000000030841201']
11506,519907,usrn21106224,DUCKETT MEWS,Haringey,HARINGEY,LONDON,3,"[(54.63652, -5.279713), (54.636514, -5.279593), (54.636489, -5.279087)]",['osgb4000000031026541']
11507,519908,usrn21106226,CHESTERFIELD MEWS,Haringey,HARINGEY,LONDON,3,"[(54.637131, -5.277858), (54.637161, -5.278391), (54.637166, -5.278485)]",['osgb4000000030775969']
11508,519909,usrn21106300,,Haringey,HARINGEY,LONDON,2,"[(54.64475, -5.287199), (54.645159, -5.287681)]",[]
11509,519910,usrn21106350,WELBOURNE ROAD,Haringey,HARINGEY,LONDON,3,"[(54.655602, -5.263619), (54.655528, -5.263634), (54.655386, -5.263661)]","['osgb4000000031245773', 'osgb5000005209506647']"
11510,519911,usrn21106357,DENEWOOD ROAD,Haringey,HARINGEY,LONDON,8,"[(54.601624, -5.286291), (54.601279, -5.285736), (54.600946, -5.285208), (54.600641, -5.284725), (54.600469, -5.284447), (54.60034, -5.28422), (54.599926, -5.283567), (54.599884, -5.283471)]","['osgb4000000030140160', 'osgb4000000030225383']"
11511,519912,usrn21106396,FIRS CLOSE,Haringey,HARINGEY,LONDON,9,"[(54.607025, -5.260487), (54.607098, -5.260446), (54.607126, -5.260402), (54.607144, -5.260388), (54.607162, -5.260389), (54.60718, -5.260406), (54.607198, -5.260408), (54.607215, -5.260424), (54.607346, -5.26059)]",[]
11512,519913,usrn21106406,OSMAN CLOSE,Haringey,HARINGEY,LONDON,2,"[(54.64646, -5.28272), (54.646239, -5.282475)]",['osgb4000000031291212']
11513,519914,usrn21106408,,Haringey,HARINGEY,LONDON,2,"[(54.657157, -5.238217), (54.657175, -5.23887)]",[]
11514,519915,usrn21106419,BIGBURY CLOSE,Haringey,HARINGEY,LONDON,8,"[(54.649356, -5.235053), (54.649427, -5.234974), (54.649503, -5.234954), (54.649577, -5.234934), (54.649577, -5.234929), (54.649585, -5.234584), (54.649592, -5.234311), (54.649296, -5.234288)]","['osgb4000000030358343', 'osgb4000000031050542', 'osgb4000000031050544']"
11515,519916,usrn21106421,COLLEGE ROAD,Haringey,HARINGEY,LONDON,6,"[(54.653926, -5.232408), (54.653943, -5.232417), (54.653959, -5.232427), (54.654347, -5.232348), (54.654684, -5.232499), (54.654765, -5.232521)]",['osgb4000000030254798']
11516,519917,usrn21106430,ST JAMES'S LANE,Haringey,HARINGEY,LONDON,16,"[(54.613061, -5.261483), (54.612716, -5.261841), (54.612595, -5.262001), (54.612426, -5.262267), (54.612312, -5.262474), (54.612274, -5.262564), (54.612244, -5.262655), (54.612203, -5.262838), (54.612186, -5.263131), (54.612183, -5.263254), (54.612175, -5.263563), (54.612164, -5.263624), (54.612154, -5.26367), (54.612145, -5.263669), (54.612091, -5.263665), (54.612011, -5.263643)]","['osgb4000000030154456', 'osgb4000000030426617']"
11517,519918,usrn21106435,EDGECOT GROVE,Haringey,HARINGEY,LONDON,10,"[(54.647728, -5.275175), (54.647881, -5.27483), (54.647921, -5.274679), (54.647993, -5.274359), (54.648042, -5.274208), (54.64808, -5.274118), (54.648145, -5.274076), (54.648225, -5.274083), (54.648322, -5.274153), (54.64897, -5.274794)]",[]
11518,519919,usrn21106437,THE AVENUE,Haringey,HARINGEY,LONDON,4,"[(54.629955, -5.261734), (54.630129, -5.261639), (54.630731, -5.2613), (54.631453, -5.260893)]",['osgb4000000030102006']
11519,519920,usrn21106446,FOREST GARDENS MEWS,Haringey,HARINGEY,LONDON,4,"[(54.654406, -5.251614), (54.654365, -5.251541), (54.654363, -5.251537), (54.654269, -5.251317)]",['osgb4000000030852902']
11520,519921,usrn21106451,EDMANSONS CLOSE,Haringey,HARINGEY,LONDON,2,"[(54.652746, -5.248235), (54.653289, -5.249549), (54.652746, -5.248235), (54.652723, -5.248269), (54.652669, -5.248348), (54.653289, -5.249549), (54.653565, -5.249203), (54.653441, -5.248876), (54.653041, -5.24791), (54.652746, -5.248235), (54.653289, -5.249549), (54.653605, -5.250314), (54.653289, -5.249549), (54.653263, -5.249589), (54.65321, -5.249671), (54.652553, -5.247769), (54.652746, -5.248235)]","['osgb4000000030852880', 'osgb4000000030852885', 'osgb4000000030852908', 'osgb4000000030852932', 'osgb4000000030852947', 'osgb4000000031221390']"
11521,519922,usrn21106456,CROSS LANE,Haringey,HARINGEY,LONDON,21,"[(54.626635, -5.264987), (54.626584, -5.264703), (54.626532, -5.264326), (54.626499, -5.2642), (54.626417, -5.263548), (54.626351, -5.263026), (54.626345, -5.262986), (54.626344, -5.262982), (54.626283, -5.262581), (54.626279, -5.262555), (54.626271, -5.262492), (54.626269, -5.262475), (54.626268, -5.262453), (54.626271, -5.262432), (54.626274, -5.262415), (54.626277, -5.262406), (54.62628, -5.262399), (54.626287, -5.262385), (54.626297, -5.262372), (54.626306, -5.262363), (54.626335, -5.262335)]","['osgb4000000030426644', 'osgb4000000031005491']"
11522,519923,usrn21106468,GLADSTONE MEWS,Haringey,HARINGEY,LONDON,9,"[(54.631456, -5.251439), (54.631454, -5.251841), (54.631461, -5.251904), (54.631469, -5.25192), (54.631495, -5.251953), (54.631522, -5.251955), (54.63155, -5.251927), (54.631606, -5.251854), (54.631753, -5.251792)]",['osgb4000000030357873']
11523,519924,usrn21106471,,Haringey,HARINGEY,LONDON,3,"[(54.631231, -5.266667), (54.63132, -5.266647), (54.631467, -5.266578)]",['osgb4000000031175485']
11524,519925,usrn21106478,MERIDIAN WALK,Haringey,HARINGEY,LONDON,4,"[(54.653087, -5.231039), (54.653827, -5.230911), (54.654234, -5.230851), (54.65455, -5.230783)]",[]
11525,519926,usrn21106479,MOSELLE PLACE,Haringey,HARINGEY,LONDON,2,"[(54.656318, -5.237011), (54.656744, -5.236835)]",['osgb4000000030254828']
11526,519927,usrn21106481,PAGE GREEN TERRACE,Haringey,HARINGEY,LONDON,10,"[(54.653682, -5.277865), (54.653745, -5.277117), (54.653815, -5.276176), (54.653829, -5.275976), (54.65389, -5.275081), (54.653911, -5.274805), (54.653879, -5.274656), (54.65384, -5.274612), (54.653834, -5.2745), (54.653866, -5.273963)]","['osgb4000000030254195', 'osgb4000000030254196', 'osgb4000000030358494', 'osgb4000000030358495']"
11527,519928,usrn21106487,PARHAM WAY,Haringey,HARINGEY,LONDON,6,"[(54.613389, -5.253204), (54.613911, -5.253007), (54.614025, -5.252962), (54.614088, -5.252938), (54.614316, -5.252853), (54.614479, -5.252795)]",['osgb4000000031133814']
11528,519929,usrn21106489,TENBY CLOSE,Haringey,HARINGEY,LONDON,2,"[(54.655939, -5.270796), (54.656173, -5.270783)]",['osgb4000000030427062']
11529,519930,usrn21106496,WEST MEWS,Haringey,HARINGEY,LONDON,3,"[(54.663859, -5.234388), (54.663968, -5.234395), (54.66487, -5.234457)]",['osgb5000005120185777']
11530,519931,usrn21106500,COLERIDGE LANE,Haringey,HARINGEY,LONDON,3,"[(54.62111, -5.280906), (54.621168, -5.280303), (54.621197, -5.279968)]",['osgb4000000031297409']
11531,519932,usrn21106510,YEWTREE CLOSE,Haringey,HARINGEY,LONDON,4,"[(54.613939, -5.245114), (54.613889, -5.245011), (54.613798, -5.244571), (54.613792, -5.244535)]",['osgb4000000030709734']
11532,519933,usrn21106511,BRUNSWICK SQUARE,Haringey,HARINGEY,LONDON,13,"[(54.656763, -5.233531), (54.656655, -5.233516), (54.656481, -5.233467), (54.656261, -5.23339), (54.656107, -5.233332), (54.656032, -5.233313), (54.656017, -5.233303), (54.655991, -5.232785), (54.655985, -5.232756), (54.655974, -5.232731), (54.655944, -5.232721), (54.655726, -5.232725), (54.655711, -5.232428)]","['osgb4000000030707161', 'osgb5000005216018494']"
11533,519934,usrn21106531,ELMCROFT CLOSE,Haringey,HARINGEY,LONDON,5,"[(54.626425, -5.271276), (54.626301, -5.271163), (54.626197, -5.271072), (54.626307, -5.270715), (54.626355, -5.270597)]",['osgb4000000030426596']
11534,519935,usrn21106534,HATHERLEY GARDENS,Haringey,HARINGEY,LONDON,7,"[(54.62197, -5.28037), (54.621955, -5.280292), (54.621956, -5.280245), (54.621975, -5.280185), (54.621995, -5.280124), (54.622014, -5.280095), (54.622032, -5.280081), (54.622086, -5.280085), (54.622104, -5.280102), (54.622112, -5.280134), (54.622128, -5.280213), (54.622127, -5.280228), (54.622126, -5.280259), (54.622098, -5.280303), (54.62197, -5.28037), (54.62197, -5.28037), (54.621983, -5.280428), (54.621983, -5.280431), (54.621985, -5.280442), (54.621996, -5.2805), (54.622182, -5.281488), (54.622261, -5.281912)]","['osgb4000000030253045', 'osgb4000000030426583', 'osgb5000005212588737']"
11535,519936,usrn21106543,GRAND PARADE,Haringey,HARINGEY,LONDON,15,"[(54.636708, -5.275047), (54.636773, -5.276293), (54.636786, -5.276495), (54.636835, -5.277321), (54.63687, -5.278021), (54.636902, -5.27852), (54.636961, -5.279641), (54.636979, -5.279983), (54.63702, -5.280777), (54.637082, -5.281821), (54.637088, -5.28193), (54.63717, -5.283533), (54.637185, -5.283658), (54.637227, -5.284111), (54.637247, -5.28436)]",[]
11536,519937,usrn21106544,THE DRIVE,Haringey,HARINGEY,LONDON,3,"[(54.599974, -5.269209), (54.600023, -5.269275), (54.600155, -5.26945)]",['osgb4000000030412036']
11537,519938,usrn21106547,LAWTON ROAD,Haringey,HARINGEY,LONDON,2,"[(54.629121, -5.254662), (54.629295, -5.254862)]",['osgb4000000030426730']
