,row number,USRN ID,Street Name,Authority Name,Administrative area,Town,NodeCount,Node Locations,Links
8799,318396,usrn21106908,RIDGEWAY GARDENS,Haringey,HARINGEY,LONDON,15,"[(54.615912, -5.289703), (54.615871, -5.289562), (54.615823, -5.289398), (54.61573, -5.289057), (54.615694, -5.28892), (54.61564, -5.288686), (54.615617, -5.288632), (54.615586, -5.288575), (54.615543, -5.288531), (54.615498, -5.2885), (54.615478, -5.288465), (54.615465, -5.288418), (54.615461, -5.28836), (54.615467, -5.288265), (54.615467, -5.28823)]",['osgb4000000030602970']
8800,318397,usrn21106935,PARKGATE MEWS,Haringey,HARINGEY,LONDON,3,"[(54.614663, -5.287766), (54.614554, -5.287855), (54.614296, -5.288064)]",['osgb4000000030602963']
8801,318398,usrn21107013,,Haringey,HARINGEY,LONDON,5,"[(54.620484, -5.22977), (54.620606, -5.229575), (54.620639, -5.22952), (54.620675, -5.229459), (54.620741, -5.229351)]",['osgb4000000030709746']
10191,423400,usrn21106549,,Haringey,HARINGEY,LONDON,2,"[(54.625465, -5.235448), (54.625519, -5.235966)]",['osgb5000005212327523']
10192,423401,usrn21106640,,Haringey,HARINGEY,LONDON,7,"[(54.614212, -5.26038), (54.614303, -5.260651), (54.614403, -5.260628), (54.614526, -5.260731), (54.614531, -5.260871), (54.614398, -5.261139), (54.614301, -5.261054)]",[]
10193,423402,usrn21106681,CROUCH HILL,Haringey,HARINGEY,LONDON,4,"[(54.622758, -5.286802), (54.622574, -5.285966), (54.622486, -5.285541), (54.622463, -5.285415), (54.622455, -5.285383), (54.622242, -5.284282), (54.622185, -5.284075), (54.622169, -5.283997), (54.622149, -5.283925), (54.622029, -5.283505), (54.622018, -5.283461), (54.622005, -5.28341), (54.621997, -5.283363), (54.621758, -5.282228), (54.621589, -5.28144), (54.621583, -5.281408), (54.621575, -5.281361), (54.621421, -5.281085), (54.621452, -5.281141), (54.621523, -5.281269), (54.621575, -5.281361), (54.621575, -5.281361), (54.621553, -5.281189), (54.621548, -5.281167), (54.621464, -5.280794)]","['osgb4000000030253036', 'osgb4000000030253037', 'osgb4000000030253038', 'osgb4000000030253040', 'osgb4000000030357565', 'osgb4000000030357570', 'osgb4000000030426577', 'osgb4000000030476575', 'osgb4000000030476576', 'osgb5000005212590975', 'osgb5000005212590979']"
10194,423403,usrn21106928,,Haringey,HARINGEY,LONDON,166,"[(54.655861, -5.236594), (54.65585, -5.236601), (54.655844, -5.236609), (54.655838, -5.236616), (54.655833, -5.236622), (54.655827, -5.236627), (54.655814, -5.23663), (54.655807, -5.236629), (54.655802, -5.236627), (54.655797, -5.236624), (54.655792, -5.236617), (54.655788, -5.236608), (54.655784, -5.236598), (54.655781, -5.236587), (54.655754, -5.236595), (54.65577, -5.236703), (54.655784, -5.236796), (54.655814, -5.236785), (54.655816, -5.236752), (54.655819, -5.236736), (54.655827, -5.236718), (54.655836, -5.236706), (54.655844, -5.236701), (54.65586, -5.236697), (54.655867, -5.236698), (54.655873, -5.236701), (54.655885, -5.236712), (54.655891, -5.236725), (54.655895, -5.236734), (54.655897, -5.236745), (54.655921, -5.236885), (54.65594, -5.237002), (54.655941, -5.237012), (54.655943, -5.237036), (54.655943, -5.23705), (54.655942, -5.237062), (54.655935, -5.237091), (54.655932, -5.237101), (54.655928, -5.237111), (54.655916, -5.23713), (54.655909, -5.237138), (54.655902, -5.237145), (54.655862, -5.237162), (54.655856, -5.237165), (54.655849, -5.237167), (54.655836, -5.237166), (54.655827, -5.237161), (54.655822, -5.237157), (54.655812, -5.237135), (54.655804, -5.23711), (54.655492, -5.237262), (54.655495, -5.237288), (54.655495, -5.237304), (54.655494, -5.237323), (54.65549, -5.237334), (54.655482, -5.237345), (54.655478, -5.237349), (54.655474, -5.237351), (54.655394, -5.237388), (54.655322, -5.237419), (54.655316, -5.23742), (54.655312, -5.237419), (54.655302, -5.237405), (54.655297, -5.237388), (54.655285, -5.237302), (54.655274, -5.237227), (54.655274, -5.237216), (54.655275, -5.237205), (54.655276, -5.237187), (54.655281, -5.237171), (54.655286, -5.237164), (54.655291, -5.237159), (54.655297, -5.237155), (54.655313, -5.237145), (54.655247, -5.23665), (54.655235, -5.236654), (54.655224, -5.236655), (54.655212, -5.236653), (54.655205, -5.236648), (54.6552, -5.236641), (54.655197, -5.236636), (54.655194, -5.236619), (54.65518, -5.236504), (54.655153, -5.23631), (54.655152, -5.2363), (54.655152, -5.236289), (54.655153, -5.236278), (54.655155, -5.236266), (54.655159, -5.23625), (54.655167, -5.236239), (54.655171, -5.236236), (54.655209, -5.236212), (54.655214, -5.236211), (54.655224, -5.236212), (54.655229, -5.236214), (54.655237, -5.236224), (54.65524, -5.23623), (54.655244, -5.236253), (54.65529, -5.236236), (54.655258, -5.236043), (54.655214, -5.236062), (54.655218, -5.236084), (54.655218, -5.236092), (54.655218, -5.236101), (54.655215, -5.23612), (54.655208, -5.236133), (54.655201, -5.23614), (54.655178, -5.236156), (54.655174, -5.236158), (54.655164, -5.236159), (54.655156, -5.236158), (54.65515, -5.236153), (54.655144, -5.236145), (54.655139, -5.236138), (54.655132, -5.236123), (54.65513, -5.236113), (54.655129, -5.236103), (54.655128, -5.236085), (54.655136, -5.235983), (54.655144, -5.235909), (54.655145, -5.235894), (54.655148, -5.235879), (54.655152, -5.235863), (54.655157, -5.235849), (54.655163, -5.235836), (54.655166, -5.235831), (54.655173, -5.235822), (54.655181, -5.235812), (54.655189, -5.235805), (54.655193, -5.235803), (54.655203, -5.235799), (54.655213, -5.235796), (54.655221, -5.235796), (54.655237, -5.235799), (54.655245, -5.235804), (54.655278, -5.235819), (54.655325, -5.235839), (54.655397, -5.235864), (54.655421, -5.23587), (54.65544, -5.235876), (54.655458, -5.23588), (54.655482, -5.235884), (54.655506, -5.235886), (54.655527, -5.235886), (54.655547, -5.235887), (54.655574, -5.235884), (54.655601, -5.23588), (54.655666, -5.235866), (54.655678, -5.235865), (54.65569, -5.235865), (54.6557, -5.235865), (54.655709, -5.235867), (54.655719, -5.23587), (54.655731, -5.235878), (54.655741, -5.235887), (54.655749, -5.235899), (54.655758, -5.235913), (54.655765, -5.235938), (54.655767, -5.235949), (54.655797, -5.23613), (54.655837, -5.23638), (54.655859, -5.23652), (54.655862, -5.236537), (54.655863, -5.236544), (54.655864, -5.236558), (54.655862, -5.236576)]",[]
10195,423404,usrn21106941,,Haringey,HARINGEY,LONDON,46,"[(54.608051, -5.262087), (54.607993, -5.262011), (54.607985, -5.261999), (54.607983, -5.261995), (54.607979, -5.26198), (54.60798, -5.261963), (54.607982, -5.261945), (54.607987, -5.261932), (54.607989, -5.261928), (54.608174, -5.261497), (54.60818, -5.261482), (54.608183, -5.261477), (54.608186, -5.261465), (54.60819, -5.261453), (54.608195, -5.261434), (54.608197, -5.261422), (54.6082, -5.261399), (54.608201, -5.261387), (54.608203, -5.261373), (54.608205, -5.261348), (54.608206, -5.261332), (54.608207, -5.261315), (54.608206, -5.261291), (54.608204, -5.261263), (54.608202, -5.261245), (54.608197, -5.26121), (54.608192, -5.261189), (54.608188, -5.261173), (54.608177, -5.261143), (54.608171, -5.261128), (54.60816, -5.261106), (54.608153, -5.261093), (54.608146, -5.261081), (54.608142, -5.261075), (54.608134, -5.261064), (54.608079, -5.260989), (54.607989, -5.260888), (54.607986, -5.260883), (54.607983, -5.260877), (54.60798, -5.260869), (54.60798, -5.260857), (54.60798, -5.260844), (54.607982, -5.260831), (54.607987, -5.260817), (54.607993, -5.260806), (54.608044, -5.260692)]",[]
10196,423405,usrn21106975,,Haringey,HARINGEY,LONDON,2,"[(54.658662, -5.231001), (54.658666, -5.230536)]",[]
10197,423406,usrn21106979,,Haringey,HARINGEY,LONDON,6,"[(54.657501, -5.260071), (54.657512, -5.259975), (54.657553, -5.25952), (54.657585, -5.259161), (54.657629, -5.258701), (54.657639, -5.258608)]",['osgb5000005209506190']
10198,423407,usrn21106981,,Haringey,HARINGEY,LONDON,2,"[(54.64057, -5.281187), (54.640924, -5.281045)]",[]
10199,423408,usrn21106982,,Haringey,HARINGEY,LONDON,7,"[(54.640337, -5.278371), (54.640397, -5.278362), (54.640405, -5.27836), (54.640536, -5.278347), (54.640537, -5.278347), (54.640606, -5.27833), (54.640646, -5.278312)]",['osgb5000005212358080']
10200,423409,usrn21106983,,Haringey,HARINGEY,LONDON,2,"[(54.63892, -5.24399), (54.639214, -5.244091)]",[]
10201,423410,usrn21106984,,Haringey,HARINGEY,LONDON,4,"[(54.627734, -5.236788), (54.627737, -5.236921), (54.627739, -5.237003), (54.627741, -5.237449)]",['osgb4000000030852896']
10202,423411,usrn21106992,,Haringey,HARINGEY,LONDON,2,"[(54.654654, -5.259092), (54.654664, -5.258721)]",[]
10203,423412,usrn21106993,,Haringey,HARINGEY,LONDON,2,"[(54.629369, -5.295969), (54.629074, -5.296565)]",[]
10204,423413,usrn21106994,,Haringey,HARINGEY,LONDON,4,"[(54.658581, -5.247139), (54.658568, -5.246978), (54.658819, -5.246932), (54.658834, -5.247082)]",[]
10205,423414,usrn21106998,,Haringey,HARINGEY,LONDON,2,"[(54.641239, -5.242361), (54.641328, -5.24274)]",[]
10206,423415,usrn21107001,,Haringey,HARINGEY,LONDON,2,"[(54.618408, -5.281431), (54.618197, -5.2816)]",[]
10207,423416,usrn21107003,,Haringey,HARINGEY,LONDON,2,"[(54.619115, -5.280884), (54.619491, -5.280635)]",[]
10208,423417,usrn21107005,,Haringey,HARINGEY,LONDON,2,"[(54.618042, -5.279992), (54.617822, -5.280176)]",[]
10209,423418,usrn21107014,,Haringey,HARINGEY,LONDON,2,"[(54.621108, -5.230888), (54.621316, -5.230532)]",[]
10210,423419,usrn21107025,,Haringey,HARINGEY,LONDON,4,"[(54.641711, -5.229407), (54.641747, -5.2293), (54.641777, -5.229255), (54.641824, -5.22923)]",[]
10211,423420,usrn21107026,,Haringey,HARINGEY,LONDON,3,"[(54.655193, -5.261446), (54.655361, -5.261486), (54.65539, -5.261493)]",[]
10212,423421,usrn21107033,,Haringey,HARINGEY,LONDON,2,"[(54.655905, -5.236628), (54.655768, -5.23671)]",[]
10213,423422,usrn21107038,,Haringey,HARINGEY,LONDON,2,"[(54.641716, -5.254057), (54.641827, -5.253631)]",[]
10214,423423,usrn21107059,SLOANE MEWS,Haringey,HARINGEY,LONDON,7,"[(54.624344, -5.277659), (54.624399, -5.27762), (54.624469, -5.277582), (54.62472, -5.277446), (54.624682, -5.27726), (54.62468, -5.277204), (54.624689, -5.27715)]",['osgb4000000030665943']
10215,423424,usrn21107061,BRIDGEPOINT PLACE,Haringey,HARINGEY,LONDON,2,"[(54.612089, -5.294245), (54.611864, -5.293917)]",[]
10216,423425,usrn21107094,ROSEBAY DRIVE,Haringey,HARINGEY,LONDON,27,"[(54.656338, -5.251098), (54.656534, -5.251132), (54.656534, -5.251132), (54.656777, -5.251173), (54.65678, -5.251173), (54.656782, -5.251172), (54.656785, -5.251171), (54.656788, -5.25117), (54.65679, -5.251168), (54.656793, -5.251166), (54.656795, -5.251165), (54.656798, -5.251163), (54.6568, -5.251161), (54.656803, -5.251158), (54.656805, -5.251156), (54.656807, -5.251153), (54.65681, -5.25115), (54.656812, -5.251148), (54.656814, -5.251144), (54.656817, -5.251139), (54.656819, -5.251135), (54.656821, -5.251132), (54.656822, -5.251128), (54.656824, -5.251124), (54.656826, -5.25112), (54.656827, -5.251115), (54.656902, -5.250786)]",['osgb5000005105548592']
10217,423426,usrn21107101,NATALIE MEWS,Haringey,HARINGEY,LONDON,3,"[(54.626659, -5.229873), (54.626532, -5.229836), (54.62633, -5.229776)]",['osgb5000005209536454']
