row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Location
13781,usrn20002100,BADGERS CROFT,Barnet,BARNET,LONDON,"[(54.572097, -5.181512), (54.572014, -5.181522), (54.571981, -5.1815), (54.571964, -5.181458), (54.572097, -5.181512), (54.572069, -5.181383), (54.572097, -5.181512), (54.572098, -5.18152), (54.572126, -5.181633), (54.572159, -5.181713), (54.572177, -5.181729), (54.572221, -5.181748), (54.572374, -5.18176), (54.572632, -5.181873), (54.572836, -5.181951), (54.572881, -5.18197), (54.572916, -5.182004), (54.572933, -5.182036), (54.572941, -5.182068), (54.572949, -5.18213), (54.572871, -5.182697)]"
13798,usrn20002700,BEACONSFIELD CLOSE,Barnet,BARNET,LONDON,"[(54.608369, -5.216665), (54.608416, -5.216629), (54.608641, -5.216458)]"
13800,usrn20002760,BEAUFORT GARDENS,Barnet,BARNET,LONDON,"[(54.558679, -5.276721), (54.559035, -5.27641), (54.559148, -5.276311), (54.559722, -5.275366)]"
13802,usrn20002840,BEAUMONT GARDENS,Barnet,BARNET,LONDON,"[(54.578657, -5.30467), (54.578618, -5.304768), (54.578558, -5.304913), (54.578498, -5.305061), (54.578431, -5.305195), (54.578409, -5.305348), (54.578387, -5.305516), (54.578347, -5.305637), (54.5783, -5.305726), (54.578235, -5.305782), (54.57818, -5.305824), (54.578153, -5.305822), (54.578126, -5.30582), (54.5781, -5.305802), (54.5778, -5.305577)]"
13806,usrn20002960,BEECH AVENUE,Barnet,BARNET,LONDON,"[(54.598389, -5.188792), (54.598852, -5.189324), (54.5994, -5.189954)]"
13809,usrn20003100,BEECHWOOD CLOSE,Barnet,BARNET,LONDON,"[(54.541554, -5.213598), (54.541651, -5.213683), (54.541687, -5.213685), (54.541733, -5.213658), (54.541991, -5.2134)]"
13810,usrn20003145,BELGRAVE CLOSE,Barnet,BARNET,LONDON,"[(54.537733, -5.214271), (54.537689, -5.214221), (54.537253, -5.214404), (54.537733, -5.214271), (54.537773, -5.214104), (54.537832, -5.214619), (54.537742, -5.214287), (54.537733, -5.214271)]"
13811,usrn20003155,BELL BROOK RISE,Barnet,BARNET,LONDON,"[(54.613047, -5.207807), (54.613137, -5.20794), (54.613312, -5.208202), (54.613322, -5.208217), (54.613336, -5.208229), (54.61334, -5.208232), (54.613351, -5.208236), (54.613367, -5.208236), (54.613399, -5.208184), (54.613409, -5.208164), (54.613418, -5.208137), (54.61342, -5.208127), (54.613422, -5.208115), (54.613424, -5.208078), (54.613433, -5.208026), (54.613473, -5.207947), (54.613497, -5.207918), (54.613508, -5.207907), (54.613524, -5.207895), (54.613568, -5.207891)]"
13813,usrn20003240,BELLEVUE MEWS,Barnet,BARNET,LONDON,"[(54.60673, -5.217331), (54.606587, -5.21739), (54.606372, -5.21748), (54.60636, -5.217486), (54.606316, -5.217523)]"
13815,usrn20003420,BERESFORD AVENUE,Barnet,BARNET,LONDON,"[(54.60168, -5.194993), (54.601578, -5.194695), (54.601451, -5.194328), (54.600968, -5.192943), (54.600882, -5.192697)]"
13819,usrn20003520,BETHUNE AVENUE,Barnet,BARNET,LONDON,"[(54.602952, -5.213625), (54.602939, -5.213597), (54.60294, -5.213516), (54.603236, -5.211892), (54.60355, -5.210213)]"
13823,usrn20003840,BITTACY PARK AVENUE,Barnet,BARNET,LONDON,"[(54.564716, -5.219707), (54.564873, -5.218853), (54.56509, -5.217693)]"
13827,usrn20004010,BLOOMSBURY CLOSE,Barnet,BARNET,LONDON,"[(54.550925, -5.228299), (54.550788, -5.228741)]"
